"Sepsis (non-obstetric)","Acute resp infect incl pneumonia","HIV/AIDS related death","Diarrhoeal diseases","Malaria","Measles","Meningitis and encephalitis","Tetanus","Pulmonary tuberculosis","Pertussis","Haemorrhagic fever","Other and unspecified infect dis","Oral neoplasms","Digestive neoplasms","Respiratory neoplasms","Breast neoplasms","Reproductive neoplasms MF","Other and unspecified neoplasms","Severe anaemia","Severe malnutrition","Diabetes mellitus","Acute cardiac disease","Sickle cell with crisis","Stroke","Other and unspecified cardiac dis","Chronic obstructive pulmonary dis","Asthma","Acute abdomen","Liver cirrhosis","Renal failure","Epilepsy","Other and unspecified NCD","Congenital malformation","Prematurity","Birth asphyxia","Neonatal pneumonia","Neonatal sepsis","Other and unspecified neonatal CoD","Fresh stillbirth","Macerated stillbirth","Road traffic accident","Other transport accident","Accid fall","Accid drowning and submersion","Accid expos to smoke fire & flame","Contact with venomous plant/animal","Exposure to force of nature","Accid poisoning & noxious subs","Intentional self-harm","Assault","Other and unspecified external CoD","Ectopic pregnancy","Abortion-related death","Pregnancy-induced hypertension","Obstetric haemorrhage","Obstructed labour","Pregnancy-related sepsis","Anaemia of pregnancy","Ruptured uterus","Other and unspecified maternal CoD"
0.005,0.8,0.05,5e-04,0.2,0.2,0.1,0.1,0.05,0.05,0.1,0.1,5e-04,5e-04,5e-04,0.05,0.005,5e-04,0.05,0.05,0.002,0.005,0.01,0.002,0.005,0.05,0.005,0.005,0.005,0.005,0.005,0.005,0.05,5e-04,0.05,0.5,5e-04,5e-04,0,0,5e-04,5e-04,5e-04,5e-04,0.005,0.005,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
0.02,0.5,5e-04,5e-04,0.2,0.2,0.1,5e-04,5e-04,0.005,5e-04,0.1,5e-04,5e-04,5e-04,0.05,0.005,5e-04,0.1,0.05,5e-04,0.005,0.05,0.002,0.05,0.05,0.05,0.005,0.005,0.005,0.005,0.005,0.05,5e-04,0.05,0.5,5e-04,5e-04,0,0,5e-04,5e-04,5e-04,5e-04,0.005,0.005,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
5e-04,0.05,0.1,5e-04,5e-04,5e-04,1e-05,0.005,0.005,0.05,0.005,0.005,5e-04,5e-04,5e-04,0.05,0.005,5e-04,0.02,0.01,0.002,5e-04,0.005,1e-04,0.1,0.05,5e-04,0.005,0.005,0.005,0.005,0.005,0.005,5e-04,0,0,0,5e-04,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
0.05,0.5,0.05,5e-04,0.1,0.05,0.05,0.05,0.8,0.05,0.005,0.1,0.05,0.05,0.5,0.05,0.05,0.05,0.05,0.01,0.005,0.05,0.005,0.005,0.05,1,0.05,0.005,0.005,0.005,0.005,0.005,0.005,5e-04,0.5,0.5,5e-04,5e-04,0,0,0.005,0.005,0.005,0.005,0.005,0.005,5e-04,0.005,5e-04,5e-04,5e-04,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.05,0.5,5e-04,5e-04,0.1,0.05,0.05,0.05,0.005,0.005,0.005,0.1,0.05,0.05,0.2,0.1,0.05,0.05,0.2,0.01,5e-04,0.1,0.01,0.02,0.02,5e-04,0.1,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,5e-04,0.5,0.5,5e-04,5e-04,0,0,5e-04,5e-04,5e-04,5e-04,0.005,0.005,5e-04,0.005,5e-04,5e-04,5e-04,0.005,0.005,0.005,0.01,0.005,0.005,0.05,0.005,0.005
0.005,0.005,0.1,5e-04,5e-04,5e-04,1e-05,5e-04,0.8,0.05,5e-04,0.005,5e-04,5e-04,0.8,5e-04,5e-04,0.005,0.05,0.01,0.005,5e-04,0.002,5e-04,0.1,1,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,0.005,5e-04,0,0,0,5e-04,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,0.005,0.005,0.005,0.005,0.005,0.02,0.005,0.005
0.005,0.005,0.01,5e-04,5e-04,5e-04,5e-04,5e-04,0.01,1e-04,5e-04,5e-04,0.005,0.005,0.2,0.005,0.005,0.01,0.005,0.005,0.005,0.05,0.05,0.005,0.8,1,0.5,0.005,0.005,0.005,0.005,0.005,5e-04,5e-04,0,0,0,5e-04,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.01,5e-04,0.005,0.01,5e-04,5e-04
0.005,0.005,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,1e-04,5e-04,5e-04,0.005,0.005,0.2,0.005,0.005,0.005,0.005,0.005,0.005,0.05,0.005,0.005,0.8,0.8,0.8,0.005,0.005,0.005,0.005,0.005,5e-04,5e-04,0,0,0,5e-04,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,5e-04,0.005,0.01,5e-04,5e-04
0.005,0.5,0.002,5e-04,5e-04,5e-04,5e-04,5e-04,0.002,0.005,5e-04,0.002,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.05,0.5,0.05,0.01,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
0.005,0.005,0.005,5e-04,0.01,5e-04,5e-04,5e-04,0.005,0.05,0.005,0.05,0.005,0.005,0.5,0.005,0.005,0.005,0.005,0.005,0.005,5e-04,0.005,0.005,5e-04,0.5,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.002,0.5,0.005,0.05,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
0.05,0.05,0.01,5e-04,0.05,0.05,0.005,0.05,0.05,0.05,0.05,0.005,0.05,0.02,0.5,0.05,0.02,0.1,0.005,0.02,0.005,0.8,0.1,0.005,0.2,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.05,5e-04,0,0,0,0,0,0,0,0.1,0.1,0.005,5e-04,0.005,0.005,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,5e-04,5e-04
0.005,0.005,0.005,0.005,0.05,0.005,0.005,0.005,0.005,0.005,0.005,0.05,0.005,0.5,0.05,0.005,0.005,0.5,0.005,0.02,0.005,5e-04,0.1,5e-04,5e-04,5e-04,5e-04,0.01,0.8,0.005,5e-04,0.005,0.005,0.02,0.002,0.005,0.005,0.002,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,0.005,0.005,0.005,0.005,0.005,0.05,0.005,0.005,0.005
0.005,0.005,0.2,1,0.005,0.05,0.005,0.005,0.005,0.005,0.005,0.05,0.005,0.2,5e-04,0.005,0.5,0.05,0.005,0.5,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.05,0.05,0.005,0.005,0.5,0.005,0.005,0.005,0.005,0.005,0.01,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.05,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.01,1,0.05,0.05,0.005,0.005,0.005,0.005,0.05,0.02,0.02,0.2,1e-05,0.01,0.01,0.005,0.02,0.05,0.05,0.005,0.05,0.1,0.005,0.005,0.02,0.1,0.02,0.02,0.1,0.005,0.02,0.005,0.005,0.1,0.1,0.002,0,0,0.005,0.002,0.002,0.002,0.002,0.01,0.005,0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.02,1,0.005,0.005,0.005,0.005,0.005,0.005,5e-04,0.02,0.02,0.2,5e-04,0.01,0.01,0.005,0.02,0.2,0.02,0.005,0.02,0.02,0.005,0.005,0.02,0.05,0.02,0.02,0.02,0.1,0.02,0.005,5e-04,0.02,0.02,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.5,1,0.005,0.005,0.005,0.005,0.005,0.005,5e-04,0.05,0.05,0.5,5e-04,0.01,0.01,0.005,0.05,0.5,0.05,0.005,0.05,0.05,0.005,0.005,0.05,0.1,0.05,0.05,0.05,0.1,0.05,0.005,5e-04,0.05,0.05,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.01,1,0.005,0.005,0.005,0.005,0.005,0.005,0.05,5e-04,0.005,0.2,5e-04,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.05,0.005,0.005,0.005,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,0.002,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
0.2,0.2,0.2,0.5,0.2,0.05,0.5,0.1,0.1,0.8,0.2,0.2,0.1,0.2,0.005,0.1,0.05,0.1,0.1,0.005,0.1,0.2,0.1,0.2,0.1,0.005,0.1,0.2,0.2,0.005,0.005,0.1,0.1,0.005,0.005,0.1,0.1,0.005,0,0,0.05,0.05,0.05,0.05,5e-04,0.05,5e-04,0.5,0.1,0.1,0.2,0.05,0.05,0.05,0.05,0.05,0.02,0.05,0.05,0.05
5e-04,5e-04,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.5,0.005,0.005,0.2,0.005,0.005,0.005,0.005,0.005,5e-04,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.05,0.05,5e-04,5e-04,0.05,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0,0,0.005,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
0.005,5e-04,0.005,0.5,0.005,0.005,0.005,0.005,5e-04,0.005,0.005,0.05,0.005,0.5,0.005,0.005,0.5,0.1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,5e-04,0.005,1,0.5,0.5,0.005,0.1,0.005,5e-04,5e-04,5e-04,5e-04,0.05,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.05,0.5,0.5,0.005,0.005,0.005,0.5,0.005,0.5,0.8
0.005,5e-04,0.02,0.5,0.2,0.05,0.005,0.1,5e-04,0.1,0.5,0.2,0.005,0.5,5e-04,0.05,0.8,0.005,0.05,0.2,0.05,0.05,0.1,0.05,0.005,5e-04,0.005,0.8,0.5,0.2,0.005,0.05,5e-04,0,0,0,0,0,0,0,0.05,0.05,0.005,5e-04,5e-04,0.05,5e-04,0.2,0.05,0.05,0.05,0.8,0.8,0.02,0.05,0.8,0.1,0.02,0.8,0.5
0.05,5e-04,0.02,0.8,0.5,0.05,0.005,0.02,5e-04,5e-04,0.5,0.1,0.01,0.05,5e-04,5e-04,0.05,0.05,0.05,0.05,0.02,0.1,0.05,0.05,0.005,5e-04,0.005,1,0.1,0.5,0.005,0.005,5e-04,0,0,0,0,0,0,0,0.1,0.1,0.05,5e-04,5e-04,0.05,5e-04,0.5,0.05,0.05,0.05,0.8,0.8,0.02,0.1,0.8,0.2,0.02,0.8,0.8
5e-04,5e-04,0.02,0.005,0.005,0.005,0.005,0.005,5e-04,5e-04,0.005,0.005,5e-04,0.8,5e-04,5e-04,0.8,5e-04,0.05,0.2,0.05,0.005,0.2,0.005,0.005,5e-04,5e-04,0.2,0.5,0.05,0.005,0.05,5e-04,0,0,0,0,0,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,0.005,0.05,0.005,0.005,0.02,0.005,5e-04,0.005,0.005,0.005,0.005
5e-04,5e-04,0.005,0.05,0.01,0.005,5e-04,0.005,5e-04,5e-04,0.05,0.005,5e-04,0.05,5e-04,0.005,0.05,0.005,0.005,0.005,0.005,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,0.5,0.2,0.005,5e-04,0.005,0.005,5e-04,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.05,0.1,5e-04,0.005,0.005,0.005,5e-04,0.005,0.005
5e-04,5e-04,0.002,0.05,0.005,0.005,5e-04,5e-04,5e-04,5e-04,0.05,0.005,5e-04,0.005,5e-04,5e-04,0.005,5e-04,0.005,0.1,0.005,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,0.5,0.05,0.005,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,0.05,0.1,5e-04,0.005,0.005,0.005,5e-04,0.005,0.005
5e-04,5e-04,0.01,5e-04,0.002,0.005,5e-04,5e-04,5e-04,5e-04,0.005,0.005,5e-04,0.5,5e-04,0.005,0.1,0.05,0.005,0.005,0.005,5e-04,0.02,5e-04,5e-04,5e-04,5e-04,0.005,0.2,0.005,5e-04,0.005,0.005,1e-04,5e-04,5e-04,5e-04,5e-04,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
5e-04,5e-04,0.01,0.005,0.002,0.002,5e-04,5e-04,5e-04,5e-04,0.005,0.002,5e-04,0.5,5e-04,0.002,0.8,0.005,0.002,0.002,0.002,5e-04,0.002,5e-04,5e-04,5e-04,5e-04,0.2,0.1,0.01,5e-04,0.005,0.002,5e-04,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.05,0.005,5e-04,5e-04,0.005,5e-04,5e-04,0.005,5e-04
5e-04,5e-04,0.002,0.005,0.005,0.002,5e-04,5e-04,5e-04,5e-04,0.005,0.002,5e-04,0.005,5e-04,5e-04,0.05,5e-04,0.002,0.002,0.002,5e-04,0.002,5e-04,5e-04,5e-04,5e-04,0.2,0.05,0.01,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.05,0.005,5e-04,5e-04,0.005,5e-04,5e-04,0.005,5e-04
5e-04,5e-04,0.02,0.005,0.002,0.002,5e-04,5e-04,5e-04,5e-04,5e-04,0.002,5e-04,0.5,5e-04,0.005,0.8,0.05,0.002,0.002,0.002,5e-04,0.01,5e-04,5e-04,5e-04,5e-04,0.005,0.2,0.01,5e-04,0.005,0.002,1e-04,5e-04,5e-04,5e-04,5e-04,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
0.2,0.2,0.5,0.2,0.8,0.05,0.8,0.2,0.05,0.05,0.2,0.5,0.05,0.005,0.005,0.005,0.005,0.1,0.5,0.2,0.2,0.2,0.05,0.5,0.05,0.05,0.2,0.2,0.2,0.2,0.5,0.2,0.05,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.5,0.05,0.005,0.05,0.005,0.005,0.005
0.005,0.005,0.05,0.005,0.005,0.8,0.05,0.005,0.005,0.005,0.05,0.5,0.005,0.005,5e-04,0.005,0.005,0.05,0.005,0.05,0.5,0.005,0.005,0.005,0.05,5e-04,0.005,0.005,0.005,0.005,0.005,0.05,0.005,0.005,5e-04,5e-04,5e-04,0.05,0,0,5e-04,5e-04,5e-04,5e-04,0.5,5e-04,5e-04,5e-04,5e-04,5e-04,0.05,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.1,0.005,0.005,0.005,0.005,0.01,0.005,0.005,0.005,0.005,0.005,0.005,5e-04,0.005,0.005,0.05,0.005,0.5,0.1,0.005,0.005,0.005,0.005,5e-04,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,5e-04,0.005,0.005,0.005,5e-04,5e-04,0.1,0.1,0.005,5e-04,0.5,0.005,5e-04,0.01,5e-04,5e-04,0.1,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,0.02,0.8,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.05,5e-04,5e-04,5e-04,0.5,5e-04,5e-04,5e-04,0.5,0.01,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,0.005,0.05,0.005,5e-04,0.005,0.005,0.005,5e-04,0.005,5e-04,0.005,0.005,5e-04,0.005,5e-04,5e-04,5e-04,0.005,0.005,0.002,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.1,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04
0.05,0.01,5e-04,5e-04,5e-04,5e-04,0.5,5e-04,5e-04,5e-04,0.5,0.02,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,0.02,0.005,5e-04,0.005,0.005,0.005,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,0.005,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04
5e-04,0.002,0.1,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,0.005,0.1,0.005,5e-04,0.05,0.005,0.01,5e-04,0.005,5e-04,0.005,0.005,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04
1e-05,5e-04,1e-05,1e-05,1e-05,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5e-04,0.01,5e-04,1e-05,0.002,5e-04,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
5e-04,5e-04,0.5,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.002,1e-04,0.002,0.002,0.002,0.002,0.002,5e-04,0.002,0.002,0.002,0.002,0.002,0.002,5e-04,0,0,0,0,0,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,1,0.05,5e-04,5e-04,5e-04,5e-04,0.05,5e-04,5e-04,5e-04,5e-04,5e-04,0.002,0.002,0.002,0.002,0.002,0.002,0.002,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0,0,0,0,0,0,0,0.005,0.002,0.002,5e-04,5e-04,5e-04,5e-04,5e-04,0.002,0.002,0.002,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,1,0.5,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.002,0.002,0.002,0.002,0.002,0.05,0.002,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0,0,0,0,0,0,0,0.01,0.005,0.002,5e-04,5e-04,5e-04,5e-04,5e-04,0.002,0.002,0.002,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,0.005,5e-04,5e-04,5e-04,0.005,0.05,5e-04,5e-04,5e-04,5e-04,5e-04,0.002,0.002,0.002,0.002,0.005,0.005,0.002,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0,0,0,0,0,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
0.02,0.02,0.05,0.02,0.2,0.05,0.2,0.2,0.02,0.02,0.2,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.8,0.05,0.05,0.2,0.05,0.005,0.05,0.05,0.2,0.2,0.2,0.05,0.05,5e-04,5e-04,5e-04,5e-04,5e-04,0,0,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.2,0.05,0.1,0.1,0.02,0.02,0.02,0.01,0.01,0.1,0.01,0.02,0.05
5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.05,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.05,0.5,5e-04,0.5,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,0.5,5e-04,5e-04,5e-04,0.005,5e-04,5e-04,5e-04,0,0,0.05,0.05,0.05,0.005,0.005,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.5,0.005,5e-04,5e-04,5e-04,5e-04,5e-04
0.05,0.01,0.02,0.005,0.1,0.005,0.2,0.01,0.005,0.005,0.1,0.02,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.02,0.02,0.005,0.01,0.02,0.005,5e-04,0.01,0.005,0.005,0.005,1,0.005,0.005,0.5,0.05,0.005,0.005,0.005,0,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.005,0.02,5e-04,5e-04,0.5,5e-04,5e-04,5e-04,5e-04,5e-04,0.005
0.05,0.01,0.02,0.005,0.1,0.005,0.05,0.01,0.005,0.005,0.1,0.05,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.05,0.05,0.05,0.02,0.05,0.005,5e-04,0.05,0.005,0.005,0.005,0.5,0.005,0.005,0.5,0.05,0.005,0.005,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.005,0.005,5e-04,5e-04,0.05,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
0.05,0.01,0.02,0.005,0.1,0.005,0.5,0.05,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.02,0.005,5e-04,0.005,0.005,0.005,5e-04,0.005,0.005,0.005,0.005,0.8,0.005,0.005,0.05,0.005,0.005,0.005,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.005,0.005,0.005,0.005,5e-04,5e-04,0.8,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
0.05,0.005,0.005,0.005,0.005,0.005,0.05,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.05,0.05,0.005,0.05,0.005,5e-04,0.005,0.005,0.005,0.005,0.5,0.005,0.005,0.05,0.005,0.005,0.005,0.005,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.005,0.005,0.005,0.005,5e-04,5e-04,0.5,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
0.05,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.05,0.5,0.005,0.005,0.005,0.005,0.05,0.05,0.005,0.005,0.005,0.005,0.005,0.005,0.005,5e-04,0.005,0.005,0.005,0.8,0.005,0.05,0.005,5e-04,5e-04,5e-04,5e-04,0.05,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.05,0.002,0.005,0.005,0.002,0.1,0.005,0.002,0.05,0.002,0.002,0.002,0.002,0.002,5e-04,0.002,0.002,0.002,0.1,0.002,0.002,0.002,5e-04,5e-04,5e-04,5e-04,0.005,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.05,0.005,0.002,0.002,0.005,0.002,0.002,0.005,0.005,0.8,0.005,0.005,0.005,0.005,5e-04,0.005,0.005,0.005,5e-04,0.005,0.005,0.002,5e-04,5e-04,5e-04,5e-04,5e-04,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04
0.002,0.002,0.005,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.5,0.005,0.002,0.005,0.005,0.002,0.1,0.01,0.002,0.002,0.002,0.002,0.002,0.002,0.002,5e-04,0.002,0.002,0.002,0.1,0.002,0.002,0.002,5e-04,5e-04,5e-04,5e-04,0.005,0,0,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,5e-04,0.005,0.005,5e-04,0.005,5e-04,0.005,5e-04,0.005,5e-04
0.02,0.02,0.2,0.8,0.05,0.05,0.05,0.2,0.5,1e-04,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.05,1,0.2,0.02,0.5,0.05,5e-04,5e-04,5e-04,0.005,0.05,0.05,0.005,0.05,0.1,0.1,5e-04,0.005,0.005,5e-04,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
